0 0
1 3.83868e-07
2 2.44372e-05
3 0.000275898
4 0.00153107
5 0.00574832
6 0.016834
7 0.0414862
8 0.0900277
9 0.177133
10 0.322364
11 0.550423
12 0.89108
13 1.3787
14 2.0514
15 2.94974
16 4.11517
17 5.58804
18 7.40551
19 9.59931
20 12.1935
21 15.2025
22 18.6293
23 22.4639
24 26.6832
25 50
26 36.1143
27 41.214
28 46.4773
29 51.8245
30 57.1718
31 62.4337
32 67.5271
33 72.3743
34 76.906
35 81.0645
36 84.8053
37 88.099
38 90.9319
39 93.306
40 95.2381
41 96.7585
42 97.9085
43 98.7378
44 99.3013
45 99.6558
46 99.8565
47 99.954
48 99.9908
49 99.9994
50 5.34099e-20
